countryname;A2005;A2006;A2007;A2008;A2009;
Uganda;28724869;29711397;30728747;31778799;32864328;
Ukraine;47105150;46787750;46509350;46258200;46053300;
United Arab Emirates;4148883;4875639;5797347;6798635;7718319;
United Kingdom;60401206;60846820;61322463;61806995;62276270;
United States;295516599;298379912;301231207;304093966;306771529;
Uruguay;3325155;3330217;3338384;3348898;3360431;
Uzbekistan;26167000;26488250;26868000;27302800;27767400;
Vanuatu;209375;214654;220001;225398;230833;
Venezuela RB;26725897;27190882;27655937;28120312;28583040;
Vietnam;82392100;83311200;84218500;85118700;86025000;
Virgin Islands (U.S.);107863;107700;107423;107091;106707;
West Bank and Gaza;3320396;3406334;3494496;3596688;3702218;
Yemen Rep.;20139661;20661714;21182162;21703571;22229625;
Zambia;11470022;11781612;12109620;12456527;12825031;
Zimbabwe;12710589;12724308;12740160;12784041;12888918;
